string
"[-110.986050493, 57.253959625],"
"[-110.94700977645, 57.2115979441796],"
"[-110.922779100436, 57.1596738893577],"
"[-110.911839078614, 57.1041954274112],"
"[-110.900916801048, 56.9833407273763],"
"[-110.881617551237, 56.9161825954399],"
"[-110.82043379779, 56.8173676940586],"
"[-110.691153115641, 56.6604581585237],"
"[-110.614503073374, 56.5575266205806],"
"[-110.558001427471, 56.4453286903917],"
"[-110.515224250731, 56.3366403493755],"
"[-110.489841411101, 56.2417862285638],"
"[-110.480648474855, 56.1553530076905],"
"[-110.483210238929, 56.0415510608021],"
"[-110.487952098902, 55.959296425468],"
"[-110.50656432656, 55.9015580833628],"
"[-110.544896788442, 55.8569179587816],"
"[-110.609070625928, 55.8254249607724],"
"[-110.710189310445, 55.799115519443],"
"[-110.818446641676, 55.7867026533865],"
"[-110.937501370492, 55.7987504366576],"
"[-111.111590090523, 55.8290764654903],"
"[-111.206644118101, 55.8340503148442],"
"[-111.32345306762, 55.8211410510526],"
"[-111.516526021486, 55.7870469013787],"
"[-111.60984216, 55.780415564],"
"[-111.711234248752, 55.7881310998759],"
"[-111.909111085731, 55.8239151625252],"
"[-112.022988644311, 55.8376906748909],"
"[-112.110784414917, 55.8351518090231],"
"[-112.311898936761, 55.8087310841158],"
"[-112.390590503888, 55.8049606886104],"
"[-112.430153913644, 55.8126516435519],"
"[-112.447185647815, 55.8260187219575],"
"[-112.451386798825, 55.8449887086141],"
"[-112.440621361044, 55.890396575851],"
"[-112.420512030237, 55.9620426659844],"
"[-112.423270188071, 55.982273330711],"
"[-112.43403796232, 55.9965254782981],"
"[-112.47248391527, 56.0137923972082],"
"[-112.536357832147, 56.0253972807944],"
"[-112.759629483057, 56.034045565137],"
"[-112.986011584333, 56.0320811451417],"
"[-113.189178244572, 56.0178481472382],"
"[-113.293783076845, 55.9987652775801],"
"[-113.320594267894, 55.985867979903],"
"[-113.324109376752, 55.9715783882917],"
"[-113.300610631437, 55.9520398875558],"
"[-113.198425328138, 55.9038010493284],"
"[-113.069427260836, 55.859605510646],"
"[-112.927085821954, 55.8308507200858],"
"[-112.762611786404, 55.8146350074015],"
"[-112.584579284078, 55.8118559846931],"
"[-112.332492690802, 55.8220216103074],"
"[-112.200184414044, 55.8330993162667],"
"[-112.130189954831, 55.8500108912868],"
"[-112.115492078692, 55.8611904317547],"
"[-112.114787298907, 55.8741710877553],"
"[-112.135923564539, 55.8945783132484],"
"[-112.170998933813, 55.9252731619168],"
"[-112.175462667769, 55.9456687920104],"
"[-112.163876993516, 55.9732639386728],"
"[-112.105173788519, 56.0396720533202],"
"[-112.081202496255, 56.0787492972949],"
"[-112.081098281748, 56.1091667759543],"
"[-112.10563241424, 56.1724227532167],"
"[-112.162422067227, 56.2547625786227],"
"[-112.229052406419, 56.3172066981169],"
"[-112.321675536236, 56.3793593560656],"
"[-112.462311664195, 56.4552882157946],"
"[-112.684971930294, 56.56725271126],"
"[-112.840681363372, 56.6328071859561],"
"[-113.116925701793, 56.7273325942018],"
"[-113.57028613274, 56.8674325189134],"
"[-113.83597137301, 56.9646082163096],"
"[-114.299981235093, 57.1626753854324],"
"[-114.519614079468, 57.2678701808557],"
"[-114.70599117268, 57.3704785674073],"
"[-114.916308504163, 57.5072097068226],"
"[-115.084759670067, 57.6351783684731],"
"[-115.151114705447, 57.6977626830681],"
