string
"[-111.086050493, 57.153959625],"
"[-111.04700977645, 57.1115979441796],"
"[-111.022779100436, 57.0596738893577],"
"[-111.011839078614, 57.0041954274112],"
"[-111.000916801048, 56.8833407273763],"
"[-110.981617551237, 56.8161825954399],"
"[-110.92043379779, 56.7173676940586],"
"[-110.791153115641, 56.5604581585237],"
"[-110.714503073374, 56.4575266205806],"
"[-110.658001427471, 56.3453286903917],"
"[-110.615224250731, 56.2366403493755],"
"[-110.589841411101, 56.1417862285638],"
"[-110.580648474855, 56.0553530076905],"
"[-110.583210238929, 55.9415510608021],"
"[-110.587952098902, 55.859296425468],"
"[-110.60656432656, 55.8015580833628],"
"[-110.644896788442, 55.7569179587816],"
"[-110.709070625928, 55.7254249607724],"
"[-110.810189310445, 55.699115519443],"
"[-110.918446641676, 55.6867026533865],"
"[-111.037501370492, 55.6987504366576],"
"[-111.211590090523, 55.7290764654903],"
"[-111.306644118101, 55.7340503148442],"
"[-111.42345306762, 55.7211410510526],"
"[-111.616526021486, 55.6870469013787],"
"[-111.70984216, 55.680415564],"
"[-111.811234248752, 55.6881310998759],"
"[-112.009111085731, 55.7239151625252],"
"[-112.122988644311, 55.7376906748909],"
"[-112.210784414917, 55.7351518090231],"
"[-112.411898936761, 55.7087310841158],"
"[-112.490590503888, 55.7049606886104],"
"[-112.530153913644, 55.7126516435519],"
"[-112.547185647815, 55.7260187219575],"
"[-112.551386798825, 55.7449887086141],"
"[-112.540621361044, 55.7903965758509],"
"[-112.520512030237, 55.8620426659844],"
"[-112.523270188071, 55.882273330711],"
"[-112.53403796232, 55.8965254782981],"
"[-112.57248391527, 55.9137923972082],"
"[-112.636357832147, 55.9253972807944],"
"[-112.859629483057, 55.934045565137],"
"[-113.086011584333, 55.9320811451417],"
"[-113.289178244572, 55.9178481472382],"
"[-113.393783076845, 55.8987652775801],"
"[-113.420594267894, 55.885867979903],"
"[-113.424109376752, 55.8715783882917],"
"[-113.400610631437, 55.8520398875558],"
"[-113.298425328138, 55.8038010493284],"
"[-113.169427260836, 55.759605510646],"
"[-113.027085821954, 55.7308507200858],"
"[-112.862611786404, 55.7146350074015],"
"[-112.684579284078, 55.7118559846931],"
"[-112.432492690802, 55.7220216103074],"
"[-112.300184414044, 55.7330993162667],"
"[-112.230189954831, 55.7500108912868],"
"[-112.215492078692, 55.7611904317547],"
"[-112.214787298907, 55.7741710877553],"
"[-112.235923564539, 55.7945783132484],"
"[-112.270998933813, 55.8252731619168],"
"[-112.275462667769, 55.8456687920104],"
"[-112.263876993516, 55.8732639386728],"
"[-112.205173788519, 55.9396720533202],"
"[-112.181202496255, 55.9787492972949],"
"[-112.181098281748, 56.0091667759543],"
"[-112.20563241424, 56.0724227532167],"
"[-112.262422067227, 56.1547625786227],"
"[-112.329052406419, 56.2172066981169],"
"[-112.421675536236, 56.2793593560656],"
"[-112.562311664195, 56.3552882157946],"
"[-112.784971930294, 56.46725271126],"
"[-112.940681363372, 56.5328071859561],"
"[-113.216925701793, 56.6273325942018],"
"[-113.67028613274, 56.7674325189134],"
"[-113.93597137301, 56.8646082163096],"
"[-114.399981235093, 57.0626753854324],"
"[-114.619614079468, 57.1678701808557],"
"[-114.80599117268, 57.2704785674073],"
"[-115.016308504163, 57.4072097068226],"
"[-115.184759670067, 57.5351783684731],"
"[-115.251114705447, 57.5977626830681],"
